book file(ISBN순)
도서번호(정수7자리) 
도서명(문자열) 
출판사(문자열)
저자명(문자열)
ISBN(정수13자리) 
소장처(문자열)
대여가능여부(문자)

도서번호 | "도서명" | "출판사" | "저자명" | ISBN | "소장처" | "Y/N"
0000045 | "권력과 영광" | "열린책들" | "김연수" | 9788932911465 | "숭실대학교 도서관" | "Y"
0000046 | "권력이동" | "한국경제신문사" | "이규행" | 8947520012120 | "숭실대학교 도서관" | "Y"
0000047 | "금오신화" | "민음사" | "김시습" | 9788937462047 | "숭실대학교 도서관" | "Y"
0000048 | "내 이름은 빨강" | "민음사" | "이난아" | 9788937490019 | "숭실대학교 도서관" | "Y"
0000049 | "데카메론" | "서해문집" | "보카치오" | 8974833042131 | "숭실대학교 도서관" | "Y"
0000050 | "돈키호테" | "시공사" | "세르반테스" | 9788952773548 | "숭실대학교 도서관" | "Y"
0000051 | "레미제라블" | "하서출판사" | "위고" | 9788962591170 | "숭실대학교 도서관" | "Y"
0000052 | "리바이어던" | "풀빛" | "홉스" | 9788974745479 | "숭실대학교 도서관" | "Y"
0000053 | "마음이 세계를 구한다" | "녹색평론사" | "김태언" | 9788990274618 | "숭실대학교 도서관" | "Y"
0000054 | "멋진 신세계" | "혜원출판사" | "정승섭" | 9788934410041 | "숭실대학교 도서관" | "Y"
0000055 | "모비딕" | "작가정신" | "멜빌" | 9788972883630 | "숭실대학교 도서관" | "Y"
0000056 | "무소유" | "범우사" | "법정" | 8908041311001 | "숭실대학교 도서관" | "Y"
0000057 | "문명의 충돌" | "김영사" | "이희재" | 8934903279078 | "숭실대학교 도서관" | "Y"
0000058 | "김동화의 회고록" | "이후" | "김동화" | 9788961570190 | "숭실대학교 도서관" | "Y"
0000059 | "민주주의" | "파주" | "문대현" | 9788941171027 | "숭실대학교 도서관" | "Y"
0000060 | "방법서설" | "문예" | "이현복" | 8931003277777 | "숭실대학교 도서관" | "Y"
0000061 | "백범일지" | "돌베개" | "김구" | 8971991488488 | "숭실대학교 도서관" | "Y"
0000062 | "사다리 걷어차기" | "부키" | "장하준" | 8985989693693 | "숭실대학교 도서관" | "Y"
0000063 | "사랑의 기술" | "홍신문화사" | "권오석" | 9788970556963 | "숭실대학교 도서관" | "Y"
0000064 | "사회계약론" | "후마니타스" | "루소" | 9788964373040 | "숭실대학교 도서관" | "Y"
0000065 | "상처받지 않을 권리" | "웅진씽크빅" | 9788901097671 | "숭실대학교 도서관" | "Y"
0000066 | "생각의 탄생" | "에코의서재" | "박종성" | 9788995688991 | "숭실대학교 도서관" | "Y"
0000067 | "서양미술사" | "예경" | "백승길" | 9788970845401 | "숭실대학교 도서관" | "Y"
0000068 | "설국" | "범우사" | "김진욱" | 9788908062597 | "숭실대학교 도서관" | "Y"
0000069 | "성의 역사" | "나남출판" | "이규현" | 9788930031363 | "숭실대학교 도서관" | "Y"
0000070 | "세계화의 덫" | "영림카디널" | "강수돌" | 8984010685685 | "숭실대학교 도서관" | "Y"
0000071 | "소유냐 존재냐" | "까치" | "차경아" | 8972911161161 | "숭실대학교 도서관" | "Y"
0000072 | "행복의 지도" | "웅진씽크빅" | "와이너" | 9788901088037 | "숭실대학교 도서관" | "Y"
0000073 | "침이 고인다"  | "문학과지성사" | "김애란" | 9788932018041 | "숭실대학교 도서관" | "Y"
0000074 | "이기는 습관" | "쌤앤파커스" | "전옥표" | 9788995881606 | "숭실대학교 도서관" | "Y"
0000075 | "이중나선" | "궁리출판" | "최돈찬" | 9788958200673 | "숭실대학교 도서관" | "Y"
0000076 | "실크로드" | "한겨례출판사" | "정수일" | 8984312037037 | "숭실대학교 도서관" | "Y"
0000077 | "악의 꽃" | "민음사" | "황현산" | 9788937475078 | "숭실대학교 도서관" | "Y"
0000078 | "죄와 벌" | "작은길" | "수경" | 9788998066093 | "숭실대학교 도서관" | "Y"
0000079 | "순수이성비판" | "동서문화사" | "칸트" | 9788949714325 | "숭실대학교 도서관" | "Y"
0000080 | "역사를 위한 변명" | "한길사" | "고봉만" | 9788935656660 | "숭실대학교 도서관" | "Y"
0000081 | "죽음에 이르는 병" | "육문사" | "박병덕" | 9788982031359 | "숭실대학교 도서관" | "Y"
0000082 | "청춘의 사신" | "창작과비평사" | "서경식" | 8936470760760 | "숭실대학교 도서관" | "Y"
0000083 | "쾌도난마 한국경제" | "부키" | "장하준" | 8985989839839 | "숭실대학교 도서관" | "Y"
0000084 | "틈새독서" | "북포스" | "김선욱" | 9788991120242 | "숭실대학교 도서관" | "Y"
0000085 | "임꺽정" | "사계절" | "고미숙" | 9788958283805 | "숭실대학교 도서관" | "Y"
0000086 | "육일약국 갑시다" | "북이십일 21세기북스" | "김성오" | 9788950943370 | "숭실대학교 도서관" | "Y"
0000087 | "카오스" | "동아시아" | "박래선" | 9788962620696 | "숭실대학교 도서관" | "Y"
0000088 | "팡세" | "범우" | "최현" | 9788963651361 | "숭실대학교 도서관" | "Y"
0000089 | "어려운 시절" | "창비" | "장남수" | 9788936471606 | "숭실대학교 도서관" | "Y"
0000090 | "폭력에 대한 성찰" | "나남" | "이용재" | 9788930082204 | "숭실대학교 도서관" | "Y"
0000091 | "크리스탈나흐트" | "플래닛" | "김세준" | 9788991972209 | "숭실대학교 도서관" | "Y"
0000092 | "진보와 빈곤" | "비봉출판사" | "김윤상" | 9788937604478 | "숭실대학교 도서관" | "Y"
0000093 | "하나뿐인 지구" | "파랑새어린이" | "신영식" | 8970577874093 | "숭실대학교 도서관" | "Y"
0000094 | "한경직" | "북코리아" | "한숭홍" | 9788992521208 | "숭실대학교 도서관" | "Y"
0000095 | "오만과 편견" | "민음사" | "윤지관" | 9788937460883 | "숭실대학교 도서관" | "Y"
0000096 | "마음을 얻는 지혜 경청" | "위즈덤하우스" | "조신영" | 9788960860193 | "숭실대학교 도서관" | "Y"
0000097 | "픽션들" | "민음사" | "송병선" | 9788937462757 | "숭실대학교 도서관" | "Y"
0000098 | "국가론" | "돋을새김" | "플라토" | 8988601866098 | "숭실대학교 도서관" | "Y"
0000099 | "프로테스탄티즘" | "길" | "막스 베버" | 9788964450130 | "숭실대학교 도서관" | "Y"
0000100 | "몰입의 즐거움" | "해냄" | "이희제" | 9788973378869 | "숭실대학교 도서관" | "Y"
